63,Brothers All Natural Banana Freeze-Dried Fruit Crisps,1,entire,17,0,66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,8,0,0,0,100,0.36,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,H-E-B,0.88,1,Dried Fruits and Nuts
64,Samurai Hot Peanuts,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H-E-B,3,0,Dried Fruits and Nuts
65,Mariani Smoke Seasoned Almonds,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H-E-B,2.58,0,Dried Fruits and Nuts
66,Mariani Cherries,0.25,cup,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,27,0,0,0,20,0,16,20,210,0,0,0.2,0.04,0,0,1750,0,0.068,0.8,0,0,16,0,0,0,1.08,0,H-E-B,3.29,3.5,Dried Fruits and Nuts
67,H-E-B Praline Pecans,0.25,cup,32,0,200,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1.5,8,5,0,0,13,1,6,0,0,0,20,0.72,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H-E-B,5.38,8,Dried Fruits and Nuts
68,Hill Country Fare Hot Snack Mixes,0.25,cup,28,0,150,7,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,9,1,0,0,0,0,20,0.36,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H-E-B,1.98,7,Dried Fruits and Nuts
69,Blue Diamond Almonds Smokehouse,1,package,43,0,260,9,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,0,0,0,0,7,4,2,0,0,0,100,1.44,100,0,280,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,0,H-E-B,1.28,0,Dried Fruits and Nuts
70,Planters Nut-rition Omega 3 Mix,0.25,cup,31,0,160,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1.5,1.5,6,0,0,16,2,13,0,0,0,0,0.72,0,0,60,5,0,0.2,0.4,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,H-E-B,5.86,8,Dried Fruits and Nuts
71,H-E-B Select Ingredients Heart-E-Blend Trail Mix,0.25,cup,28,0,180,6,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,8,4.5,0,0,5,3,1,0,0,0,40,0.72,60,100,200,35,0.9,0.2,0.6,0,0,0,0,0,2,0,0,0,0,0,0,4.05,0,H-E-B,4.98,10,Dried Fruits and Nuts
72,Gourmet Nut Power Up Trail Mix Variety Pack,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H-E-B,8.98,0,Dried Fruits and Nuts
